model,scenario,region,variable,unit,2025,2030,2035,2040,2045,2050
Aladin v1,ExPol,Deutschland,Final Energy|Bunkers|Liquids|Biomass,TWh/yr,3.333928788151,8.980395,27.44768776128975,44.52224739212417,51.39902162744973,55.518043
Aladin v1,ExPol,Deutschland,Final Energy|Bunkers|Liquids|Efuel,TWh/yr,0.0,1.796079,9.14922925376325,18.55093641338511,25.69951081372486,55.518043
Aladin v1,ExPol,Deutschland,Final Energy|Bunkers|Liquids|Petroleum,TWh/yr,165.2858212118489,168.831426,146.3876680602119,122.4361803283417,94.23153965032444,47.586894
Aladin v1,ExPol,Deutschland,Final Energy|Bunkers|Liquids|Synthetic Fossil,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Bunkers|Navigation,TWh/yr,46.68933333333334,48.15218571428555,48.94909267857139,48.83774476190472,46.80760982142834,45.62298
Aladin v1,ExPol,Deutschland,Final Energy|Bunkers|Navigation|Gases,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Bunkers|Navigation|Hydrogen,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Bunkers|Navigation|Liquids,TWh/yr,46.68933333333334,48.15218571428555,48.94909267857139,48.83774476190472,46.80760982142834,45.62298
Aladin v1,ExPol,Deutschland,Final Energy|Bunkers|Navigation|Liquids|Biomass,TWh/yr,0.9231357091893333,2.407609285714286,7.342363901785695,11.72105874285714,14.04228294642856,15.968043
Aladin v1,ExPol,Deutschland,Final Energy|Bunkers|Navigation|Liquids|Efuel,TWh/yr,0.0,0.4815218571428556,2.44745463392857,4.883774476190473,7.021141473214278,15.968043
Aladin v1,ExPol,Deutschland,Final Energy|Bunkers|Navigation|Liquids|Petroleum,TWh/yr,45.76619762414389,45.26305457142833,39.15927414285694,32.23291154285695,25.7441854017857,13.686894
Aladin v1,ExPol,Deutschland,Final Energy|Bunkers|Navigation|Liquids|Synthetic Fossil,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation,TWh/yr,551.8523352952694,452.9610314969138,335.4895329583222,254.7663020410594,219.2915810686567,211.2889721787197
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Bus,TWh/yr,10.25804062499997,8.8407,7.494802989130416,6.281203804347806,4.471691304347805,3.948833333333333
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Bus|Electricity,TWh/yr,1.465434375,2.946899999999972,3.406728631422916,3.768722282608695,4.471691304347805,3.948833333333333
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Bus|Gases,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Bus|Hydrogen,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Bus|Liquids,TWh/yr,8.792606249999972,5.893799999999971,4.0880743577075,2.512481521739128,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Bus|Liquids|Biomass,TWh/yr,0.5847083156249971,0.4302473999999972,0.4006312870553333,0.4547591554347805,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Bus|Liquids|Efuel,TWh/yr,0.0,0.05893799999999972,0.40880743577075,0.502496304347825,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Bus|Liquids|Petroleum,TWh/yr,8.207897934374971,5.404614599999999,3.278635634881417,1.555226061956519,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Bus|Liquids|Synthetic Fossil,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Aviation,TWh/yr,9.239999999999974,9.514285714285693,9.425448971867084,9.358660817413277,8.205695131166,7.116164653146
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Aviation|Electricity,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Aviation|Gases,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Aviation|Hydrogen,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Aviation|Liquids,TWh/yr,9.239999999999974,9.514285714285693,9.425448971867084,9.358660817413277,8.205695131166,7.116164653146
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Aviation|Liquids|Biomass,TWh/yr,0.18269213424,0.4757142857142833,1.413817345780064,2.246078596179186,2.461708539349803,2.490657628601102
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Aviation|Liquids|Efuel,TWh/yr,0.0,0.09514285714285695,0.4712724485933528,0.9358660817413278,1.2308542696749,2.490657628601102
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Aviation|Liquids|Petroleum,TWh/yr,9.057307865759999,8.943428571428557,7.540359177493666,6.17671613949275,4.513132322141305,2.134849395943803
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Aviation|Liquids|Synthetic Fossil,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Navigation,TWh/yr,4.0625,4.199999999999999,4.025,3.85,3.675,3.5
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Navigation|Electricity,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Navigation|Gases,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Navigation|Hydrogen,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Navigation|Liquids,TWh/yr,4.0625,4.199999999999999,4.025,3.85,3.675,3.5
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Navigation|Liquids|Biomass,TWh/yr,0.08032324625000001,0.21,0.60375,0.9239999999999999,1.1025,1.225
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Navigation|Liquids|Efuel,TWh/yr,0.0,0.042,0.20125,0.385,0.55125,1.225
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Navigation|Liquids|Petroleum,TWh/yr,3.98217675375,3.948,3.22,2.541,2.02125,1.05
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Domestic Navigation|Liquids|Synthetic Fossil,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Electricity,TWh/yr,31.34943060105778,76.99471031557361,130.613555606992,172.7242732253164,191.973183469533,197.3249386801794
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Gases,TWh/yr,18.13351615622719,35.06014534914028,24.63164282857261,7.682002964605694,1.482173133129217,0.2429893214626078
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Gases|Biomass,TWh/yr,2.720027423434081,5.259021802371028,3.694746424285889,1.152300444690856,0.2223259699693828,0.03644839821939111
